# Andrassy 2022 (A&A 659 A193) idealized O-shell convection IC
# 2D slab for cart_ale2, y ∈ [1, 3], Lx = 2.0
# Variable-g in original paper; this slab uses mean g = 0.875690
# γ_eos = 1.6666666666666667, piecewise effective d ln p/d ln ρ: 1.667→1.300 at y=2
# μ: 1.848 (conv) → 1.802 (stable) via η₁ ramp
# Heating: q̇₀=3.795720e-04, L_tot=1.208215e-04, y∈[1.0, 1.125]
# Ly_cm Lx_cm g_y gamma rho_top P_top T_top mu
2.0000000000e+00 2.0000000000e+00 8.7568955454e-01 1.6666666667e+00 4.3137519468e-02 6.1956999794e-03 2.5881533061e-01 1.8480000000e+00
# y_cm rho P T g_y(optional) qdot(optional)
3.5156250000e-01 6.3766036053e-01 2.8344379299e-01 8.2144690477e-01 9.7089300320e-01 0.0000000000e+00
3.5546875000e-01 6.3440468735e-01 2.8103595694e-01 8.1864850431e-01 9.6739681082e-01 0.0000000000e+00
3.5937500000e-01 6.3116625078e-01 2.7864902728e-01 8.1586016644e-01 9.6392321500e-01 0.0000000000e+00
3.6328125000e-01 6.2794492520e-01 2.7628279574e-01 8.1308182620e-01 9.6047200539e-01 0.0000000000e+00
3.6718750000e-01 6.2474058627e-01 2.7393705661e-01 8.1031341926e-01 9.5704297420e-01 0.0000000000e+00
3.7109375000e-01 6.2155311088e-01 2.7161160662e-01 8.0755488188e-01 9.5363591613e-01 0.0000000000e+00
3.7500000000e-01 6.1838237719e-01 2.6930624500e-01 8.0480615089e-01 9.5025062840e-01 0.0000000000e+00
3.7890625000e-01 6.1522826456e-01 2.6702077338e-01 8.0206716374e-01 9.4688691063e-01 0.0000000000e+00
3.8281250000e-01 6.1209065357e-01 2.6475499577e-01 7.9933785841e-01 9.4354456486e-01 0.0000000000e+00
3.8671875000e-01 6.0896942598e-01 2.6250871853e-01 7.9661817349e-01 9.4022339550e-01 0.0000000000e+00
3.9062500000e-01 6.0586446473e-01 2.6028175033e-01 7.9390804811e-01 9.3692320931e-01 0.0000000000e+00
3.9453125000e-01 6.0277565395e-01 2.5807390215e-01 7.9120742195e-01 9.3364381531e-01 0.0000000000e+00
3.9843750000e-01 5.9970287887e-01 2.5588498718e-01 7.8851623525e-01 9.3038502483e-01 0.0000000000e+00
4.0234375000e-01 5.9664602588e-01 2.5371482085e-01 7.8583442878e-01 9.2714665140e-01 0.0000000000e+00
4.0625000000e-01 5.9360498250e-01 2.5156322077e-01 7.8316194386e-01 9.2392851077e-01 0.0000000000e+00
4.1015625000e-01 5.9057963733e-01 2.4943000670e-01 7.8049872233e-01 9.2073042085e-01 0.0000000000e+00
4.1406250000e-01 5.8756988008e-01 2.4731500052e-01 7.7784470656e-01 9.1755220169e-01 0.0000000000e+00
4.1796875000e-01 5.8457560152e-01 2.4521802620e-01 7.7519983942e-01 9.1439367544e-01 0.0000000000e+00
4.2187500000e-01 5.8159669350e-01 2.4313890980e-01 7.7256406430e-01 9.1125466634e-01 0.0000000000e+00
4.2578125000e-01 5.7863304892e-01 2.4107747938e-01 7.6993732510e-01 9.0813500066e-01 0.0000000000e+00
4.2968750000e-01 5.7568456170e-01 2.3903356502e-01 7.6731956622e-01 9.0503450669e-01 0.0000000000e+00
4.3359375000e-01 5.7275112681e-01 2.3700699878e-01 7.6471073254e-01 9.0195301472e-01 0.0000000000e+00
4.3750000000e-01 5.6983264023e-01 2.3499761466e-01 7.6211076943e-01 8.9889035699e-01 0.0000000000e+00
4.4140625000e-01 5.6692899891e-01 2.3300524858e-01 7.5951962276e-01 8.9584636767e-01 0.0000000000e+00
4.4531250000e-01 5.6404010083e-01 2.3102973838e-01 7.5693723885e-01 8.9282088283e-01 0.0000000000e+00
4.4921875000e-01 5.6116584493e-01 2.2907092373e-01 7.5436356451e-01 8.8981374043e-01 0.0000000000e+00
4.5312500000e-01 5.5830613110e-01 2.2712864618e-01 7.5179854700e-01 8.8682478027e-01 0.0000000000e+00
4.5703125000e-01 5.5546086020e-01 2.2520274907e-01 7.4924213406e-01 8.8385384399e-01 0.0000000000e+00
4.6093750000e-01 5.5262993402e-01 2.2329307754e-01 7.4669427386e-01 8.8090077500e-01 0.0000000000e+00
4.6484375000e-01 5.4981325531e-01 2.2139947851e-01 7.4415491503e-01 8.7796541851e-01 0.0000000000e+00
4.6875000000e-01 5.4701072769e-01 2.1952180063e-01 7.4162400666e-01 8.7504762148e-01 0.0000000000e+00
4.7265625000e-01 5.4422225572e-01 2.1765989426e-01 7.3910149827e-01 8.7214723258e-01 0.0000000000e+00
4.7656250000e-01 5.4144774487e-01 2.1581361149e-01 7.3658733979e-01 8.6926410218e-01 0.0000000000e+00
4.8046875000e-01 5.3868710145e-01 2.1398280604e-01 7.3408148161e-01 8.6639808233e-01 0.0000000000e+00
4.8437500000e-01 5.3594023269e-01 2.1216733331e-01 7.3158387454e-01 8.6354902676e-01 0.0000000000e+00
4.8828125000e-01 5.3320704667e-01 2.1036705032e-01 7.2909446979e-01 8.6071679079e-01 0.0000000000e+00
4.9218750000e-01 5.3048745233e-01 2.0858181568e-01 7.2661321902e-01 8.5790123137e-01 0.0000000000e+00
4.9609375000e-01 5.2778135943e-01 2.0681148962e-01 7.2414007427e-01 8.5510220704e-01 0.0000000000e+00
5.0000000000e-01 5.2508867860e-01 2.0505593389e-01 7.2167498799e-01 8.5231957790e-01 0.0000000000e+00
5.0390625000e-01 5.2240932128e-01 2.0331501180e-01 7.1921791306e-01 8.4955320559e-01 0.0000000000e+00
5.0781250000e-01 5.1974319972e-01 2.0158858820e-01 7.1676880272e-01 8.4680295328e-01 0.0000000000e+00
5.1171875000e-01 5.1709022700e-01 1.9987652940e-01 7.1432761062e-01 8.4406868564e-01 0.0000000000e+00
5.1562500000e-01 5.1445031697e-01 1.9817870322e-01 7.1189429080e-01 8.4135026882e-01 0.0000000000e+00
5.1953125000e-01 5.1182338428e-01 1.9649497894e-01 7.0946879769e-01 8.3864757044e-01 0.0000000000e+00
5.2343750000e-01 5.0920934436e-01 1.9482522726e-01 7.0705108608e-01 8.3596045954e-01 0.0000000000e+00
5.2734375000e-01 5.0660811341e-01 1.9316932032e-01 7.0464111116e-01 8.3328880660e-01 0.0000000000e+00
5.3125000000e-01 5.0401960838e-01 1.9152713166e-01 7.0223882847e-01 8.3063248352e-01 0.0000000000e+00
5.3515625000e-01 5.0144374699e-01 1.8989853621e-01 6.9984419394e-01 8.2799136354e-01 0.0000000000e+00
5.3906250000e-01 4.9888044769e-01 1.8828341025e-01 6.9745716384e-01 8.2536532132e-01 0.0000000000e+00
5.4296875000e-01 4.9632962968e-01 1.8668163142e-01 6.9507769481e-01 8.2275423283e-01 0.0000000000e+00
5.4687500000e-01 4.9379121286e-01 1.8509307869e-01 6.9270574387e-01 8.2015797537e-01 0.0000000000e+00
5.5078125000e-01 4.9126511788e-01 1.8351763235e-01 6.9034126835e-01 8.1757642759e-01 0.0000000000e+00
5.5468750000e-01 4.8875126609e-01 1.8195517396e-01 6.8798422596e-01 8.1500946939e-01 0.0000000000e+00
5.5859375000e-01 4.8624957952e-01 1.8040558640e-01 6.8563457474e-01 8.1245698198e-01 0.0000000000e+00
5.6250000000e-01 4.8375998093e-01 1.7886875378e-01 6.8329227307e-01 8.0991884783e-01 0.0000000000e+00
5.6640625000e-01 4.8128239374e-01 1.7734456147e-01 6.8095727969e-01 8.0739495063e-01 0.0000000000e+00
5.7031250000e-01 4.7881674206e-01 1.7583289607e-01 6.7862955364e-01 8.0488517532e-01 0.0000000000e+00
5.7421875000e-01 4.7636295068e-01 1.7433364539e-01 6.7630905432e-01 8.0238940806e-01 0.0000000000e+00
5.7812500000e-01 4.7392094503e-01 1.7284669845e-01 6.7399574144e-01 7.9990753618e-01 0.0000000000e+00
5.8203125000e-01 4.7149065123e-01 1.7137194543e-01 6.7168957503e-01 7.9743944822e-01 0.0000000000e+00
5.8593750000e-01 4.6907199601e-01 1.6990927771e-01 6.6939051547e-01 7.9498503387e-01 0.0000000000e+00
5.8984375000e-01 4.6666490677e-01 1.6845858779e-01 6.6709852341e-01 7.9254418399e-01 0.0000000000e+00
5.9375000000e-01 4.6426931155e-01 1.6701976934e-01 6.6481355985e-01 7.9011679054e-01 0.0000000000e+00
5.9765625000e-01 4.6188513898e-01 1.6559271714e-01 6.6253558610e-01 7.8770274664e-01 0.0000000000e+00
6.0156250000e-01 4.5951231836e-01 1.6417732707e-01 6.6026456375e-01 7.8530194649e-01 0.0000000000e+00
6.0546875000e-01 4.5715077957e-01 1.6277349612e-01 6.5800045471e-01 7.8291428542e-01 0.0000000000e+00
6.0937500000e-01 4.5480045311e-01 1.6138112236e-01 6.5574322120e-01 7.8053965979e-01 0.0000000000e+00
6.1328125000e-01 4.5246127008e-01 1.6000010493e-01 6.5349282573e-01 7.7817796707e-01 0.0000000000e+00
6.1718750000e-01 4.5013316218e-01 1.5863034403e-01 6.5124923110e-01 7.7582910575e-01 0.0000000000e+00
6.2109375000e-01 4.4781606168e-01 1.5727174087e-01 6.4901240039e-01 7.7349297539e-01 0.0000000000e+00
6.2500000000e-01 4.4550990145e-01 1.5592419773e-01 6.4678229701e-01 7.7116947654e-01 0.0000000000e+00
6.2890625000e-01 4.4321461493e-01 1.5458761788e-01 6.4455888460e-01 7.6885851080e-01 0.0000000000e+00
6.3281250000e-01 4.4093013613e-01 1.5326190561e-01 6.4234212714e-01 7.6655998074e-01 0.0000000000e+00
6.3671875000e-01 4.3865639961e-01 1.5194696618e-01 6.4013198884e-01 7.6427378994e-01 0.0000000000e+00
6.4062500000e-01 4.3639334052e-01 1.5064270586e-01 6.3792843422e-01 7.6199984294e-01 0.0000000000e+00
6.4453125000e-01 4.3414089452e-01 1.4934903184e-01 6.3573142806e-01 7.5973804525e-01 0.0000000000e+00
6.4843750000e-01 4.3189899784e-01 1.4806585232e-01 6.3354093541e-01 7.5748830333e-01 0.0000000000e+00
6.5234375000e-01 4.2966758724e-01 1.4679307640e-01 6.3135692159e-01 7.5525052459e-01 0.0000000000e+00
6.5625000000e-01 4.2744660003e-01 1.4553061413e-01 6.2917935220e-01 7.5302461735e-01 0.0000000000e+00
6.6015625000e-01 4.2523597403e-01 1.4427837647e-01 6.2700819309e-01 7.5081049085e-01 0.0000000000e+00
6.6406250000e-01 4.2303564758e-01 1.4303627529e-01 6.2484341037e-01 7.4860805525e-01 0.0000000000e+00
6.6796875000e-01 4.2084555955e-01 1.4180422337e-01 6.2268497040e-01 7.4641722158e-01 0.0000000000e+00
6.7187500000e-01 4.1866564931e-01 1.4058213437e-01 6.2053283983e-01 7.4423790179e-01 0.0000000000e+00
6.7578125000e-01 4.1649585676e-01 1.3936992281e-01 6.1838698553e-01 7.4207000866e-01 0.0000000000e+00
6.7968750000e-01 4.1433612227e-01 1.3816750409e-01 6.1624737462e-01 7.3991345585e-01 0.0000000000e+00
6.8359375000e-01 4.1218638672e-01 1.3697479447e-01 6.1411397449e-01 7.3776815788e-01 0.0000000000e+00
6.8750000000e-01 4.1004659149e-01 1.3579171104e-01 6.1198675276e-01 7.3563403011e-01 0.0000000000e+00
6.9140625000e-01 4.0791667841e-01 1.3461817173e-01 6.0986567729e-01 7.3351098870e-01 0.0000000000e+00
6.9531250000e-01 4.0579658984e-01 1.3345409530e-01 6.0775071621e-01 7.3139895068e-01 0.0000000000e+00
6.9921875000e-01 4.0368626858e-01 1.3229940131e-01 6.0564183784e-01 7.2929783385e-01 0.0000000000e+00
7.0312500000e-01 4.0158565791e-01 1.3115401013e-01 6.0353901079e-01 7.2720755682e-01 0.0000000000e+00
7.0703125000e-01 3.9949470157e-01 1.3001784293e-01 6.0144220385e-01 7.2512803901e-01 0.0000000000e+00
7.1093750000e-01 3.9741334378e-01 1.2889082167e-01 5.9935138608e-01 7.2305920060e-01 0.0000000000e+00
7.1484375000e-01 3.9534152920e-01 1.2777286907e-01 5.9726652676e-01 7.2100096256e-01 0.0000000000e+00
7.1875000000e-01 3.9327920294e-01 1.2666390861e-01 5.9518759540e-01 7.1895324661e-01 0.0000000000e+00
7.2265625000e-01 3.9122631057e-01 1.2556386457e-01 5.9311456171e-01 7.1691597522e-01 0.0000000000e+00
7.2656250000e-01 3.8918279808e-01 1.2447266193e-01 5.9104739566e-01 7.1488907162e-01 0.0000000000e+00
7.3046875000e-01 3.8714861192e-01 1.2339022643e-01 5.8898606742e-01 7.1287245977e-01 0.0000000000e+00
7.3437500000e-01 3.8512369896e-01 1.2231648454e-01 5.8693054738e-01 7.1086606436e-01 0.0000000000e+00
7.3828125000e-01 3.8310800651e-01 1.2125136347e-01 5.8488080614e-01 7.0886981079e-01 0.0000000000e+00
7.4218750000e-01 3.8110148229e-01 1.2019479110e-01 5.8283681453e-01 7.0688362518e-01 0.0000000000e+00
7.4609375000e-01 3.7910407446e-01 1.1914669606e-01 5.8079854359e-01 7.0490743435e-01 0.0000000000e+00
7.5000000000e-01 3.7711573158e-01 1.1810700765e-01 5.7876596455e-01 7.0294116582e-01 0.0000000000e+00
7.5390625000e-01 3.7513640263e-01 1.1707565587e-01 5.7673904887e-01 7.0098474777e-01 0.0000000000e+00
7.5781250000e-01 3.7316603698e-01 1.1605257140e-01 5.7471776822e-01 6.9903810910e-01 0.0000000000e+00
7.6171875000e-01 3.7120458444e-01 1.1503768559e-01 5.7270209445e-01 6.9710117935e-01 0.0000000000e+00
7.6562500000e-01 3.6925199518e-01 1.1403093046e-01 5.7069199963e-01 6.9517388873e-01 0.0000000000e+00
7.6953125000e-01 3.6730821979e-01 1.1303223869e-01 5.6868745603e-01 6.9325616809e-01 0.0000000000e+00
7.7343750000e-01 3.6537320926e-01 1.1204154359e-01 5.6668843612e-01 6.9134794896e-01 0.0000000000e+00
7.7734375000e-01 3.6344691493e-01 1.1105877914e-01 5.6469491255e-01 6.8944916348e-01 0.0000000000e+00
7.8125000000e-01 3.6152928857e-01 1.1008387993e-01 5.6270685819e-01 6.8755974444e-01 0.0000000000e+00
7.8515625000e-01 3.5962028230e-01 1.0911678120e-01 5.6072424608e-01 6.8567962525e-01 0.0000000000e+00
7.8906250000e-01 3.5771984862e-01 1.0815741881e-01 5.5874704946e-01 6.8380873992e-01 0.0000000000e+00
7.9296875000e-01 3.5582794042e-01 1.0720572920e-01 5.5677524178e-01 6.8194702310e-01 0.0000000000e+00
7.9687500000e-01 3.5394451094e-01 1.0626164946e-01 5.5480879665e-01 6.8009441003e-01 0.0000000000e+00
8.0078125000e-01 3.5206951380e-01 1.0532511725e-01 5.5284768786e-01 6.7825083654e-01 0.0000000000e+00
8.0468750000e-01 3.5020290297e-01 1.0439607083e-01 5.5089188943e-01 6.7641623906e-01 0.0000000000e+00
8.0859375000e-01 3.4834463279e-01 1.0347444907e-01 5.4894137551e-01 6.7459055461e-01 0.0000000000e+00
8.1250000000e-01 3.4649465794e-01 1.0256019137e-01 5.4699612046e-01 6.7277372076e-01 0.0000000000e+00
8.1640625000e-01 3.4465293348e-01 1.0165323775e-01 5.4505609881e-01 6.7096567568e-01 0.0000000000e+00
8.2031250000e-01 3.4281941479e-01 1.0075352878e-01 5.4312128528e-01 6.6916635808e-01 0.0000000000e+00
8.2421875000e-01 3.4099405761e-01 9.9861005572e-02 5.4119165475e-01 6.6737570726e-01 0.0000000000e+00
8.2812500000e-01 3.3917681801e-01 9.8975609818e-02 5.3926718229e-01 6.6559366303e-01 0.0000000000e+00
8.3203125000e-01 3.3736765240e-01 9.8097283744e-02 5.3734784313e-01 6.6382016577e-01 0.0000000000e+00
8.3593750000e-01 3.3556651756e-01 9.7225970121e-02 5.3543361267e-01 6.6205515640e-01 0.0000000000e+00
8.3984375000e-01 3.3377337054e-01 9.6361612254e-02 5.3352446649e-01 6.6029857636e-01 0.0000000000e+00
8.4375000000e-01 3.3198816878e-01 9.5504153977e-02 5.3162038033e-01 6.5855036763e-01 0.0000000000e+00
8.4765625000e-01 3.3021086999e-01 9.4653539649e-02 5.2972133011e-01 6.5681047270e-01 0.0000000000e+00
8.5156250000e-01 3.2844143226e-01 9.3809714145e-02 5.2782729191e-01 6.5507883459e-01 0.0000000000e+00
8.5546875000e-01 3.2667981395e-01 9.2972622853e-02 5.2593824195e-01 6.5335539681e-01 0.0000000000e+00
8.5937500000e-01 3.2492597377e-01 9.2142211667e-02 5.2405415665e-01 6.5164010340e-01 0.0000000000e+00
