# Andrassy 2022 (A&A 659 A193) idealized O-shell convection IC
# 2D slab for cart_ale2, y ∈ [1, 3], Lx = 2.0
# Variable-g in original paper; this slab uses mean g = 0.875690
# γ_eos = 1.6666666666666667, piecewise effective d ln p/d ln ρ: 1.667→1.300 at y=2
# μ: 1.848 (conv) → 1.802 (stable) via η₁ ramp
# Heating: q̇₀=3.795720e-04, L_tot=1.208215e-04, y∈[1.0, 1.125]
# Ly_cm Lx_cm g_y gamma rho_top P_top T_top mu
2.0000000000e+00 2.0000000000e+00 8.7568955454e-01 1.6666666667e+00 4.3137523389e-02 6.1957006905e-03 2.5881533679e-01 1.8480000000e+00
# y_cm rho P T g_y(optional) qdot(optional)
9.8437500000e-01 2.7223596639e-01 6.8800120987e-02 4.6344273243e-01 6.0074042086e-01 0.0000000000e+00
1.0000000000e+00 2.6564834303e-01 6.6287850391e-02 4.5539650495e-01 5.9487955553e-01 0.0000000000e+00
1.0156250000e+00 2.5889277997e-01 6.3861702576e-02 4.4800598324e-01 5.8912081521e-01 0.0000000000e+00
1.0312500000e+00 2.5199239782e-01 6.1521537569e-02 4.4158575499e-01 5.8346164925e-01 0.0000000000e+00
1.0468750000e+00 2.4502545049e-01 5.9266754981e-02 4.3629122918e-01 5.7789958966e-01 0.0000000000e+00
1.0625000000e+00 2.3811628424e-01 5.7095842399e-02 4.3208597988e-01 5.7243224783e-01 0.0000000000e+00
1.0781250000e+00 2.3138374659e-01 5.5006164424e-02 4.2838405788e-01 5.6705731143e-01 0.0000000000e+00
1.0937500000e+00 2.2484670732e-01 5.2994542929e-02 4.2471676592e-01 5.6177254138e-01 0.0000000000e+00
1.1093750000e+00 2.1849894680e-01 5.1057883894e-02 4.2108352522e-01 5.5657576902e-01 0.0000000000e+00
1.1250000000e+00 2.1233447173e-01 4.9193227492e-02 4.1748377086e-01 5.5146489340e-01 0.0000000000e+00
1.1406250000e+00 2.0634750554e-01 4.7397741630e-02 4.1391695138e-01 5.4643787870e-01 0.0000000000e+00
1.1562500000e+00 2.0053247943e-01 4.5668715827e-02 4.1038252831e-01 5.4149275173e-01 0.0000000000e+00
1.1718750000e+00 1.9488402372e-01 4.4003555419e-02 4.0687997585e-01 5.3662759958e-01 0.0000000000e+00
1.1875000000e+00 1.8939695962e-01 4.2399776077e-02 4.0340878039e-01 5.3184056735e-01 0.0000000000e+00
1.2031250000e+00 1.8406629144e-01 4.0854998604e-02 3.9996844022e-01 5.2712985602e-01 0.0000000000e+00
1.2187500000e+00 1.7888719912e-01 3.9366944017e-02 3.9655846515e-01 5.2249372033e-01 0.0000000000e+00
1.2343750000e+00 1.7385503115e-01 3.7933428871e-02 3.9317837612e-01 5.1793046689e-01 0.0000000000e+00
1.2500000000e+00 1.6896529772e-01 3.6552360837e-02 3.8982770496e-01 5.1343845220e-01 0.0000000000e+00
1.2656250000e+00 1.6421366436e-01 3.5221734499e-02 3.8650599398e-01 5.0901608093e-01 0.0000000000e+00
1.2812500000e+00 1.5959594566e-01 3.3939627371e-02 3.8321279574e-01 5.0466180413e-01 0.0000000000e+00
1.2968750000e+00 1.5510809945e-01 3.2704196115e-02 3.7994767268e-01 5.0037411758e-01 0.0000000000e+00
1.3125000000e+00 1.5074622116e-01 3.1513672950e-02 3.7671019691e-01 4.9615156025e-01 0.0000000000e+00
1.3281250000e+00 1.4650653842e-01 3.0366362239e-02 3.7349994987e-01 4.9199271272e-01 0.0000000000e+00
1.3437500000e+00 1.4238540595e-01 2.9260637254e-02 3.7031652211e-01 4.8789619577e-01 0.0000000000e+00
1.3593750000e+00 1.3837930066e-01 2.8194937092e-02 3.6715951300e-01 4.8386066897e-01 0.0000000000e+00
1.3750000000e+00 1.3448481693e-01 2.7167763753e-02 3.6402853051e-01 4.7988482933e-01 0.0000000000e+00
1.3906250000e+00 1.3069866215e-01 2.6177679353e-02 3.6092319095e-01 4.7596741001e-01 0.0000000000e+00
1.4062500000e+00 1.2701765242e-01 2.5223303483e-02 3.5784311874e-01 4.7210717914e-01 0.0000000000e+00
1.4218750000e+00 1.2343870845e-01 2.4303310684e-02 3.5478794621e-01 4.6830293856e-01 0.0000000000e+00
1.4375000000e+00 1.1995885163e-01 2.3416428060e-02 3.5175731336e-01 4.6455352275e-01 0.0000000000e+00
1.4531250000e+00 1.1657520027e-01 2.2561432988e-02 3.4875086767e-01 4.6085779771e-01 0.0000000000e+00
1.4687500000e+00 1.1328496601e-01 2.1737150953e-02 3.4576826387e-01 4.5721465992e-01 0.0000000000e+00
1.4843750000e+00 1.1008545033e-01 2.0942453481e-02 3.4280916378e-01 4.5362303533e-01 0.0000000000e+00
1.5000000000e+00 1.0697404133e-01 2.0176256163e-02 3.3987323609e-01 4.5008187840e-01 0.0000000000e+00
1.5156250000e+00 1.0394821048e-01 1.9437516783e-02 3.3696015622e-01 4.4659017117e-01 0.0000000000e+00
1.5312500000e+00 1.0100550964e-01 1.8725233528e-02 3.3406960609e-01 4.4314692235e-01 0.0000000000e+00
1.5468750000e+00 9.8143568114e-02 1.8038443282e-02 3.3120127399e-01 4.3975116650e-01 0.0000000000e+00
1.5625000000e+00 9.5360089915e-02 1.7376220000e-02 3.2835485440e-01 4.3640196316e-01 0.0000000000e+00
1.5781250000e+00 9.2652851041e-02 1.6737673158e-02 3.2553004782e-01 4.3309839609e-01 0.0000000000e+00
1.5937500000e+00 9.0019696932e-02 1.6121946272e-02 3.2272656065e-01 4.2983957248e-01 0.0000000000e+00
1.6093750000e+00 8.7458540008e-02 1.5528215487e-02 3.1994410500e-01 4.2662462223e-01 0.0000000000e+00
1.6250000000e+00 8.4967357305e-02 1.4955688229e-02 3.1718239856e-01 4.2345269723e-01 0.0000000000e+00
1.6406250000e+00 8.2544188205e-02 1.4403601920e-02 3.1444116447e-01 4.2032297070e-01 0.0000000000e+00
1.6562500000e+00 8.0187132263e-02 1.3871222746e-02 3.1172013118e-01 4.1723463647e-01 0.0000000000e+00
1.6718750000e+00 7.7894347116e-02 1.3357844488e-02 3.0901903229e-01 4.1418690845e-01 0.0000000000e+00
1.6875000000e+00 7.5664046469e-02 1.2862787398e-02 3.0633760647e-01 4.1117901992e-01 0.0000000000e+00
1.7031250000e+00 7.3494498172e-02 1.2385397131e-02 3.0367559729e-01 4.0821022299e-01 0.0000000000e+00
1.7187500000e+00 7.1384022361e-02 1.1925043719e-02 3.0103275313e-01 4.0527978804e-01 0.0000000000e+00
1.7343750000e+00 6.9330989680e-02 1.1481120594e-02 2.9840882706e-01 4.0238700312e-01 0.0000000000e+00
1.7500000000e+00 6.7333819562e-02 1.1053043651e-02 2.9580357671e-01 3.9953117351e-01 0.0000000000e+00
1.7656250000e+00 6.5390978585e-02 1.0640250358e-02 2.9321676416e-01 3.9671162111e-01 0.0000000000e+00
1.7812500000e+00 6.3500978886e-02 1.0242198895e-02 2.9064815587e-01 3.9392768404e-01 0.0000000000e+00
1.7968750000e+00 6.1662376638e-02 9.8583673373e-03 2.8809752251e-01 3.9117871609e-01 0.0000000000e+00
1.8125000000e+00 5.9873770583e-02 9.4882528741e-03 2.8556463895e-01 3.8846408633e-01 0.0000000000e+00
1.8281250000e+00 5.8133800617e-02 9.1313710572e-03 2.8304928407e-01 3.8578317860e-01 0.0000000000e+00
1.8437500000e+00 5.6441146438e-02 8.7872550838e-03 2.8055124072e-01 3.8313539115e-01 0.0000000000e+00
1.8593750000e+00 5.4794526233e-02 8.4554551099e-03 2.7807029562e-01 3.8052013618e-01 0.0000000000e+00
1.8750000000e+00 5.3192695420e-02 8.1355375921e-03 2.7560623926e-01 3.7793683945e-01 0.0000000000e+00
1.8906250000e+00 5.1634445439e-02 7.8270846576e-03 2.7315886581e-01 3.7538493992e-01 0.0000000000e+00
1.9062500000e+00 5.0118602578e-02 7.5296935009e-03 2.7072797306e-01 3.7286388934e-01 0.0000000000e+00
1.9218750000e+00 4.8644026852e-02 7.2429758052e-03 2.6831336231e-01 3.7037315195e-01 0.0000000000e+00
1.9375000000e+00 4.7209610918e-02 6.9665571886e-03 2.6591483831e-01 3.6791220404e-01 0.0000000000e+00
1.9531250000e+00 4.5814279030e-02 6.7000766724e-03 2.6353220916e-01 3.6548053371e-01 0.0000000000e+00
1.9687500000e+00 4.4456986030e-02 6.4431861724e-03 2.6116528626e-01 3.6307764050e-01 0.0000000000e+00
1.9843750000e+00 4.3374166972e-02 6.2399218444e-03 2.5924046382e-01 1.8035151752e-01 0.0000000000e+00
2.0000000000e+00 4.3137523389e-02 6.1957006905e-03 2.5881533679e-01 0.0000000000e+00 0.0000000000e+00
